catalog_id,canonical_symbol,aliases,gene_or_candidate,trait_category,trait_scope,species_scope,chromosome,model_class,inheritance_summary,evidence_grade,evidence_status,genotype_prediction,phenotype_prediction,supported_claim,prohibited_claim,required_context,primary_sources,release_status,review_priority
LOC001,Pun1,C; AT3; capsaicinoid synthase-associated acyltransferase,Pun1 / BAHD acyltransferase,Pungency,Capability for normal capsaicinoid synthesis,"Capsicum spp.; strongest allele evidence in C. annuum, C. chinense, C. frutescens",2,Nuclear Mendelian locus with multiple alleles,Functional allele is commonly dominant for presence capability; documented loss-of-function alleles are recessive in studied crosses.,A,Functionally validated causal pathway gene with multiple null alleles,Exact allele segregation when parental calls are verified,Conditional only,A verified null Pun1 allele can explain nonpungency in documented backgrounds; functional Pun1 supports capsaicinoid synthesis.,Functional Pun1 guarantees a particular SHU or even pungency when other pathway loci are defective.,"Exact allele, species/accession, assay method, developmental stage, and status of pAMT/CaKR1/other pathway genes.",SRC001; SRC002,MVP eligible with safeguards,P0
LOC002,pAMT,putative aminotransferase; vanillylamine synthase; CA03g08530,pAMT,Pungency,Vanillylamine production and capsaicinoid accumulation,Capsicum spp.; documented alleles in C. annuum and C. chacoense,3,Nuclear multi-allelic locus; null and leaky alleles,Documented null alleles can be recessive for nonpungency; leaky alleles produce quantitative reductions.,A,Functionally supported enzyme; multiple characterized alleles,Exact allele segregation when allele is identified,Conditional/allele-specific,Specific null pAMT alleles can cause nonpungency despite functional Pun1; leaky alleles can reduce capsaicinoids.,Any pAMT variant predicts a universal percentage reduction or exact SHU.,"Exact allele sequence, splice behavior, genetic background, Pun1 status, assay protocol.",SRC003; SRC004,MVP eligible for named validated alleles,P0
LOC003,CaKR1,putative ketoacyl-ACP reductase,CaKR1,Pungency,Branched-chain fatty-acid pathway contribution to capsaicinoid synthesis,Validated in a C. chinense mapping population and functional assays,10,Nuclear recessive loss-of-function model in studied cross,A transposon-disrupted allele segregated as a recessive nonpungency factor in the reported material.,A,"Strong genetic, biochemical, and silencing support",Exact for the documented allele,Population-limited conditional model,The documented disrupted CaKR1 allele can cause loss of pungency in the studied C. chinense material.,All CaKR1 variants or all chromosome-10 haplotypes determine pungency.,"Allele identity, species, population, Pun1 and pAMT status.",SRC005,Advisory until broader replication,P1
LOC004,CaMYB31,R2R3-MYB transcription factor,CaMYB31,Pungency regulation,Regulation of capsaicinoid biosynthetic genes,Functionally studied in C. annuum cultivars,Not normalized in this release,Regulatory/quantitative; not a simple Mendelian phenotype rule,No production-ready universal dominance model established.,A,Functional regulatory evidence by silencing and expression analysis,Allele segregation can be calculated if alleles are supplied,Not eligible for deterministic phenotype prediction,CaMYB31 activity influences pathway-gene expression and capsaicinoid accumulation.,CaMYB31 genotype alone predicts pungency presence or SHU.,"Functional variant evidence, expression context, environment, pathway genotype.",SRC006,Observational/research only,P2
LOC005,PSY1,phytoene synthase 1; classical Y-associated carotenoid locus in some literature,PSY1,Mature fruit color,Carotenoid pathway flux and mature fruit pigmentation,Capsicum spp.; many alleles/accessions,Not normalized in this release,Multi-gene pathway component,"Loss-of-function effects depend on PSY2, CCS, and broader carotenoid background.",A,Major functional fruit-color gene with multiple alleles,Exact allele segregation,Blocked unless a validated multi-locus rule matches the exact background,PSY1 loss can alter carotenoid accumulation and fruit color; PSY2 may partially compensate.,PSY1 alone maps universally to red versus yellow.,"PSY1 allele, PSY2, CCS, ZEP, pigment measurements, maturity stage.",SRC007; SRC008,Inheritance only; phenotype blocked by default,P0
LOC006,PSY2,phytoene synthase 2,PSY2,Mature fruit color,Compensatory carotenoid synthesis,Functional evidence in C. annuum MicroPep material,Not normalized in this release,Modifier/compensatory pathway component,No universal simple dominance rule.,A,Functional compensation demonstrated by VIGS and biochemical evidence,Exact allele segregation,Research/advisory only,Functional PSY2 can support basal carotenoid production when PSY1 is absent in the studied background.,PSY2 universally causes yellow fruit.,"PSY1 and CCS alleles, expression, accession, pigment profile.",SRC007; SRC008,Research only,P1
LOC007,CCS,capsanthin-capsorubin synthase; classical Y-associated locus in some mapping systems,CCS,Mature fruit color,Synthesis of red xanthophyll pigments capsanthin/capsorubin,Capsicum spp.,Not normalized in this release,Multi-allelic pathway gene with epistasis,Functional and null alleles interact with PSY1/PSY2 and other carotenoid genes.,A,Major carotenoid pathway gene with extensive allele evidence,Exact allele segregation,Conditional multi-locus only,CCS variation is a major determinant of carotenoid composition and mature color in many backgrounds.,"Functional CCS alone guarantees red fruit, or null CCS alone guarantees yellow/orange.",CCS allele plus PSY1/PSY2/ZEP and pigment measurements.,SRC007; SRC008; SRC009,Inheritance only; curated combination models later,P0
LOC008,CaOr / ZEP,orange locus; zeaxanthin epoxidase,ZEP,Mature fruit color,Orange versus yellow differentiation in a defined cross,C. annuum SNU-mini Orange × SNU-mini Yellow population,2,Population-specific recessive allele model with pathway dependencies,Yellow was dominant over orange in the reported cross; orange associated with ZEP splicing mutation.,B,Fine-mapped and strong functional candidate with pigment evidence,Exact for the named allele,Only within validated compatible background,The documented ZEP splicing mutation contributes to orange coloration in the studied material.,ZEP genotype universally distinguishes orange from yellow peppers.,"PSY1 and CCS status, exact ZEP allele, accession/background.",SRC009,Advisory population model,P1
LOC009,cl / CaSGR,chlorophyll retainer; STAY-GREEN,CaSGR,Ripening color,Chlorophyll degradation during fruit ripening,C. annuum chlorophyll-retainer mutant material,Not normalized in this release,Nuclear mutant model; carotenoid-dependent visual outcome,The cl mutation behaves as a chlorophyll-retainer factor in studied material.,B,Cosegregating candidate allele with conserved-residue substitution,Exact for documented allele,Conditional on carotenoid background,The documented CaSGR/cl allele impairs chlorophyll breakdown; ripe fruit can appear brown or green depending on carotenoids.,cl alone determines one universal ripe color.,"CaSGR allele, carotenoid genotype and measured pigments, maturity.",SRC010,Advisory,P1
LOC010,CaGLK2 / pc10,GOLDEN2-like 2; pc10 QTL,CaGLK2,Immature fruit color,"Chloroplast development, chlorophyll content, green intensity",C. annuum; studied mapping populations and accessions,10,Quantitative QTL/candidate gene with background effects,Allelic effects are quantitative and interact with background and PRR2/APRR2.,B,"Strong QTL, sequence, expression, and functional evidence",Exact allele segregation,Quantitative advisory only,CaGLK2 variation contributes to chlorophyll content and immature fruit color intensity.,A single CaGLK2 allele universally yields green versus yellow fruit.,"PRR2/APRR2 state, background, stage, chlorophyll measurement.",SRC011; SRC013,Research/advisory,P1
