claim_id,catalog_id,claim_text,claim_type,evidence_grade,applicability,required_conditions,exclusions,source_ids,review_status
CLM-001,LOC001,A verified null Pun1 allele can explain nonpungency in documented backgrounds; functional Pun1 supports capsaicinoid synthesis.,Production-supported,A,"Capsicum spp.; strongest allele evidence in C. annuum, C. chinense, C. frutescens","Exact allele, species/accession, assay method, developmental stage, and status of pAMT/CaKR1/other pathway genes.",Functional Pun1 guarantees a particular SHU or even pungency when other pathway loci are defective.,SRC001; SRC002,Curated seed record; independent domain review required before production release
CLM-002,LOC002,Specific null pAMT alleles can cause nonpungency despite functional Pun1; leaky alleles can reduce capsaicinoids.,Production-supported,A,Capsicum spp.; documented alleles in C. annuum and C. chacoense,"Exact allele sequence, splice behavior, genetic background, Pun1 status, assay protocol.",Any pAMT variant predicts a universal percentage reduction or exact SHU.,SRC003; SRC004,Curated seed record; independent domain review required before production release
CLM-003,LOC003,The documented disrupted CaKR1 allele can cause loss of pungency in the studied C. chinense material.,Advisory/research,A,Validated in a C. chinense mapping population and functional assays,"Allele identity, species, population, Pun1 and pAMT status.",All CaKR1 variants or all chromosome-10 haplotypes determine pungency.,SRC005,Curated seed record; independent domain review required before production release
CLM-004,LOC004,CaMYB31 activity influences pathway-gene expression and capsaicinoid accumulation.,Advisory/research,A,Functionally studied in C. annuum cultivars,"Functional variant evidence, expression context, environment, pathway genotype.",CaMYB31 genotype alone predicts pungency presence or SHU.,SRC006,Curated seed record; independent domain review required before production release
CLM-005,LOC005,PSY1 loss can alter carotenoid accumulation and fruit color; PSY2 may partially compensate.,Advisory/research,A,Capsicum spp.; many alleles/accessions,"PSY1 allele, PSY2, CCS, ZEP, pigment measurements, maturity stage.",PSY1 alone maps universally to red versus yellow.,SRC007; SRC008,Curated seed record; independent domain review required before production release
CLM-006,LOC006,Functional PSY2 can support basal carotenoid production when PSY1 is absent in the studied background.,Advisory/research,A,Functional evidence in C. annuum MicroPep material,"PSY1 and CCS alleles, expression, accession, pigment profile.",PSY2 universally causes yellow fruit.,SRC007; SRC008,Curated seed record; independent domain review required before production release
CLM-007,LOC007,CCS variation is a major determinant of carotenoid composition and mature color in many backgrounds.,Advisory/research,A,Capsicum spp.,CCS allele plus PSY1/PSY2/ZEP and pigment measurements.,"Functional CCS alone guarantees red fruit, or null CCS alone guarantees yellow/orange.",SRC007; SRC008; SRC009,Curated seed record; independent domain review required before production release
CLM-008,LOC008,The documented ZEP splicing mutation contributes to orange coloration in the studied material.,Advisory/research,B,C. annuum SNU-mini Orange × SNU-mini Yellow population,"PSY1 and CCS status, exact ZEP allele, accession/background.",ZEP genotype universally distinguishes orange from yellow peppers.,SRC009,Curated seed record; independent domain review required before production release
CLM-009,LOC009,The documented CaSGR/cl allele impairs chlorophyll breakdown; ripe fruit can appear brown or green depending on carotenoids.,Advisory/research,B,C. annuum chlorophyll-retainer mutant material,"CaSGR allele, carotenoid genotype and measured pigments, maturity.",cl alone determines one universal ripe color.,SRC010,Curated seed record; independent domain review required before production release
CLM-010,LOC010,CaGLK2 variation contributes to chlorophyll content and immature fruit color intensity.,Advisory/research,B,C. annuum; studied mapping populations and accessions,"PRR2/APRR2 state, background, stage, chlorophyll measurement.",A single CaGLK2 allele universally yields green versus yellow fruit.,SRC011; SRC013,Curated seed record; independent domain review required before production release
