path,category,lines,priority,status,review_note
.dockerignore,Repository configuration,9,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
.env.example,Repository configuration,23,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
.github/workflows/ci.yml,CI,46,P0,Incomplete,"CI cannot currently install with --frozen-lockfile and lacks PostgreSQL, object-storage, browser, container, migration, RLS, restore, and security-scan jobs."
.gitignore,Repository configuration,13,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
.nvmrc,Repository configuration,2,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
.prettierignore,Repository configuration,7,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
.prettierrc.json,Repository configuration,7,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
AGENTS.md,Repository configuration,12,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
README.md,Repository configuration,112,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
apps/web/Dockerfile,Repository configuration,24,P0,Blocked,Frozen install is correct policy but impossible without committed lockfile; prove standalone output and non-root runtime from clean build.
apps/web/next-env.d.ts,Repository configuration,3,P2,Validate,No file-specific blocker identified; keep only if used and include in clean build/review.
apps/web/next.config.ts,Repository configuration,35,P0,Unproven,Workspace packages export TypeScript source but transpilePackages omits application/auth/database/storage/breeding-domain/observation-domain; prove or fix production build boundary.
apps/web/package.json,Repository configuration,41,P1,Validate,Configuration appears coherent statically; prove build graph and runtime packaging on Node 24 with frozen dependencies.
apps/web/src/app/accept-invitation/page.tsx,Web route,19,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/actions.ts,Web application,538,P0,Defective,"Server actions generate a new random idempotency key per submission, so duplicate clicks/retries are not deduplicated across requests."
apps/web/src/app/admin/audit/page.tsx,Web route,14,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/admin/jobs/page.tsx,Web route,23,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/admin/models/page.tsx,Web route,26,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/admin/system/page.tsx,Web route,30,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/ai/page.tsx,Web route,34,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/annotations/page.tsx,Web route,24,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/api/exports/[id]/route.ts,Web API,40,P1,Security/contract review,"API is authenticated or intentionally public; add integration, rate-limit, adversarial, and error-contract tests."
apps/web/src/app/api/exports/breeding-ledger/route.ts,Web API,57,P1,Security/contract review,"API is authenticated or intentionally public; add integration, rate-limit, adversarial, and error-contract tests."
apps/web/src/app/api/health/route.ts,Web API,6,P1,Security/contract review,"API is authenticated or intentionally public; add integration, rate-limit, adversarial, and error-contract tests."
apps/web/src/app/api/media/[id]/route.ts,Web API,33,P1,Security/contract review,"API is authenticated or intentionally public; add integration, rate-limit, adversarial, and error-contract tests."
apps/web/src/app/api/media/upload/route.ts,Web API,62,P0,Upload hardening gap,"Buffers the full multipart file before enforcing byte limit; lacks quarantine scan/decode pipeline, metadata policy, stable retry semantics, and orphan cleanup."
apps/web/src/app/api/simulations/exact/route.ts,Web API,44,P1,Good boundary with gaps,"Same-origin and key checks are good; add rate limits, structured error envelopes, allele/release validation, payload/depth limits, and advanced job handoff."
apps/web/src/app/api/system/readiness/route.ts,Web API,20,P1,Security/contract review,"API is authenticated or intentionally public; add integration, rate-limit, adversarial, and error-contract tests."
apps/web/src/app/breeding-ledger/page.tsx,Web route,28,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/catalog/claims/[id]/page.tsx,Web route,24,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/catalog/loci/[id]/page.tsx,Web route,26,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/catalog/page.tsx,Web route,83,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/catalog/releases/[id]/page.tsx,Web route,30,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
apps/web/src/app/crosses/[id]/page.tsx,Web route,26,P1,Workflow review,"Route is persistence-backed unless otherwise noted, but most pages need E2E, accessibility, pagination, empty/error/loading, and duplicate-submit proof."
