source_id,year,title,authors,journal,doi,pmid,source_type,open_access,url,key_use,limitations
SRC001,2015,Evidence of capsaicin synthase activity of the Pun1-encoded protein and its role as a determinant of capsaicinoid accumulation in pepper,Ogawa et al.,BMC Plant Biology,10.1186/s12870-015-0476-7,25884984,Primary functional study,Yes,https://pubmed.ncbi.nlm.nih.gov/25884984/,"Functional evidence that Pun1 participates directly in capsaicin synthesis; VIGS, protein inhibition, and HPLC evidence.",Does not make exact SHU predictable; cultivar and developmental context remain important.
SRC002,2009,Contrasting modes for loss of pungency between cultivated and wild species of Capsicum,Stellari et al.,Heredity,10.1038/hdy.2009.131,19812612,Primary genetic mapping/complementation,Unknown,https://pubmed.ncbi.nlm.nih.gov/19812612/,Documents independent Pun1 loss-of-function alleles and shows Pun2 nonpungency in C. chacoense is non-allelic to Pun1.,Pun2 was not identified molecularly in this paper.
SRC003,2019,Discovery of novel unfunctional pAMT allele pamt10 causing loss of pungency in sweet bell pepper (Capsicum annuum L.),Tsurumaki and Sasanuma,Breeding Science,10.1270/jsbbs.18150,31086491,Primary allele/genetic study,Yes,https://pubmed.ncbi.nlm.nih.gov/31086491/,Identifies a nonsense pAMT allele causing nonpungency despite intact Pun1.,Specific allele and genetic background; does not imply all pAMT variants are null.
SRC004,2019,Positional differences of intronic transposons in pAMT affect the pungency level in chili pepper through altered splicing efficiency,Tanaka et al.,Plant Journal,,31323150,Primary allele/function study,Unknown,https://pubmed.ncbi.nlm.nih.gov/31323150/,Shows leaky pAMT alleles can reduce capsaicinoid accumulation to different degrees through altered splicing.,Quantitative effects are population- and allele-specific.
SRC005,2018,Mutation in the putative ketoacyl-ACP reductase CaKR1 induces loss of pungency in Capsicum,Koeda et al.,Theoretical and Applied Genetics,,30267113,Primary mapping and functional validation,Unknown,https://pubmed.ncbi.nlm.nih.gov/30267113/,Maps a recessive nonpungency locus in C. chinense and functionally supports CaKR1 involvement.,Validated in specific material; broader allele catalog remains incomplete.
SRC006,2017,An R2R3-MYB Transcription Factor Regulates Capsaicinoid Biosynthesis,Arce-Rodríguez and Ochoa-Alejo,Plant Physiology,10.1104/pp.17.00506,28483879,Primary functional regulatory study,Yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC5490919/,CaMYB31 silencing reduced biosynthetic gene expression and capsaicinoid content.,Regulatory evidence does not define a simple Mendelian phenotype rule or exact heat level.
SRC007,2020,Phytoene synthase 2 can compensate for the absence of PSY1 in the control of color in Capsicum fruit,Jang et al.,Journal of Experimental Botany,10.1093/jxb/eraa155,32219321,Primary functional study,Yes,https://pubmed.ncbi.nlm.nih.gov/32219321/,Demonstrates PSY2 compensation in a PSY1-deleted and CCS-mutant background; supports multi-gene color modeling.,Specific genotype and cultivar background; not a universal color lookup.
SRC008,2018,Single-molecule real-time sequencing reveals diverse allelic variations in carotenoid biosynthetic genes in pepper (Capsicum spp.),Jang et al.,Plant Biotechnology Journal,,30467964,Primary multi-accession allele study,Unknown,https://pubmed.ncbi.nlm.nih.gov/30467964/,"Catalogs allelic variation in PSY1, PSY2, LCYB, BCH, ZEP, and CCS across 94 accessions with pigment analysis.",Alleles do not fully explain all mature fruit colors; association is not always causal.
SRC009,2021,A mutation in Zeaxanthin epoxidase contributes to orange coloration and alters carotenoid contents in pepper fruit (Capsicum annuum),Lee et al.,Plant Journal,10.1111/tpj.15264,33825226,Primary mapping and functional candidate study,Yes,https://pubmed.ncbi.nlm.nih.gov/33825226/,Maps CaOr and identifies a ZEP splicing mutation associated with orange fruit in a defined cross.,Population-specific; color depends on PSY1/CCS and broader carotenoid background.
SRC010,2008,Chlorophyll breakdown during pepper fruit ripening in the chlorophyll retainer mutation is impaired at the homolog of the senescence-inducible stay-green gene,Borovsky and Paran,Theoretical and Applied Genetics,10.1007/s00122-008-0768-5,18427769,Primary mapping/candidate allele study,Unknown,https://pubmed.ncbi.nlm.nih.gov/18427769/,CaSGR cosegregates with the cl chlorophyll-retainer mutation and carries a candidate amino-acid substitution.,Candidate evidence and a specific mutant allele; ripe appearance also depends on carotenoid background.
SRC011,2014,CaGLK2 regulates natural variation of chlorophyll content and fruit color in pepper fruit,Brand et al.,Theoretical and Applied Genetics,10.1007/s00122-014-2367-y,25096887,Primary QTL/candidate validation study,Unknown,https://pubmed.ncbi.nlm.nih.gov/25096887/,"Supports CaGLK2 as underlying pc10 QTL affecting chloroplast compartment size, chlorophyll content, and immature fruit color.",Quantitative and genetic-background dependent.
SRC012,2013,Network inference analysis identifies an APRR2-like gene linked to pigment accumulation in tomato and pepper fruits,Pan et al.,Plant Physiology,10.1104/pp.112.212654,23292788,Primary comparative/network and association study,Yes,https://pubmed.ncbi.nlm.nih.gov/23292788/,Supports APRR2-like involvement in plastid and pigment accumulation in pepper fruit.,Does not by itself establish a universal single-locus inheritance model.
SRC013,2025,Genetic Regulation of Chlorophyll Biosynthesis in Pepper Fruit: Roles of CaAPRR2 and CaGLK2,Study authors as indexed by PubMed,Peer-reviewed article,,40004548,Primary BSA-seq/candidate study,Unknown,https://pubmed.ncbi.nlm.nih.gov/40004548/,Reports joint effects of CaAPRR2 and CaGLK2 in a defined F2 population.,"Recent, population-specific candidate-gene evidence; needs independent replication before broad production rules."
SRC014,2023,"Identification of CaPs locus involving in purple stripe formation on unripe fruit, reveals allelic variation and alternative splicing of R2R3-MYB transcription factor in pepper",Li et al.,Frontiers in Plant Science,10.3389/fpls.2023.1140851,37056500,Primary mapping and functional candidate study,Yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10089288/,Maps CaPs and supports CA10g11690/CaAN3 as an allele affecting purple stripe formation.,"Specific allele, tissue pattern, and population; not equivalent to all purple pigmentation."
SRC015,1999,Expression of the Bs2 pepper gene confers resistance to bacterial spot disease in tomato,Tai et al.,PNAS,10.1073/pnas.96.24.14153,10570214,Primary gene cloning and functional validation,Yes,https://pubmed.ncbi.nlm.nih.gov/10570214/,Bs2 was cloned and shown to recognize Xanthomonas strains carrying avrBs2.,Resistance is pathogen-effector dependent and not universal to all bacterial spot strains.
SRC016,2007,Plant pathogen recognition mediated by promoter activation of the pepper Bs3 resistance gene,Römer et al.,Science,10.1126/science.1144958,17962564,Primary mechanistic study,Unknown,https://pubmed.ncbi.nlm.nih.gov/17962564/,Shows Bs3/Bs3-E recognition specificity resides in promoter activation by matching AvrBs3-family effectors.,Requires pathogen effector identity and host allele; race-specific.
SRC017,2005,Allele-specific CAPS markers based on point mutations in resistance alleles at the pvr1 locus encoding eIF4E in Capsicum,Ruffel et al.,Theoretical and Applied Genetics,,16283234,Primary allele-marker study,Unknown,https://pubmed.ncbi.nlm.nih.gov/16283234/,Defines coding polymorphisms for recessive pvr1 resistance alleles and marker-assisted selection.,Virus-strain spectrum varies by allele; homozygosity and genetic context matter.
